case_id,activity,time:timestamp:start,time:timestamp:end
0,A52,2021-12-23 00:00:00,2021-12-24 05:02:00
1,A52,2021-12-23 00:00:00,2021-12-24 05:02:00
2,A52,2021-12-23 00:00:00,2021-12-24 05:02:00
0,A43,2021-12-24 05:02:00,2021-12-24 05:42:00
1,A43,2021-12-24 05:02:00,2021-12-24 05:42:00
2,A43,2021-12-24 05:02:00,2021-12-24 05:42:00
0,A63,2021-12-24 05:42:00,2021-12-24 06:25:00
1,A63,2021-12-24 05:42:00,2021-12-24 06:25:00
2,A63,2021-12-24 05:42:00,2021-12-24 06:25:00
0,A60,2021-12-24 06:25:00,2021-12-24 10:18:00
1,A60,2021-12-24 06:25:00,2021-12-24 10:18:00
2,A60,2021-12-24 06:25:00,2021-12-24 10:18:00
0,A65,2021-12-24 10:18:00,2021-12-24 21:47:00
1,A65,2021-12-24 10:18:00,2021-12-24 21:47:00
2,A65,2021-12-24 10:18:00,2021-12-24 21:47:00
0,A46,2021-12-24 21:47:00,2021-12-25 14:45:00
1,A46,2021-12-24 21:47:00,2021-12-25 14:45:00
2,A46,2021-12-24 21:47:00,2021-12-25 14:45:00
0,A57,2021-12-25 14:45:00,2021-12-27 21:30:00
1,A57,2021-12-25 14:45:00,2021-12-27 21:30:00
2,A57,2021-12-25 14:45:00,2021-12-27 21:30:00
1,A18,2021-12-27 21:30:00,2021-12-28 01:17:00
0,A61,2021-12-27 21:30:00,2021-12-28 18:46:00
2,A61,2021-12-27 21:30:00,2021-12-28 18:46:00
1,A58,2021-12-28 01:17:00,2021-12-28 21:45:00
1,A50,2021-12-28 21:45:00,2021-12-28 21:47:00
0,A13,2021-12-28 18:46:00,2021-12-28 22:05:00
2,A13,2021-12-28 18:46:00,2021-12-28 22:05:00
1,A51,2021-12-28 21:47:00,2021-12-29 05:42:00
1,A41,2021-12-29 05:42:00,2021-12-29 15:10:00
1,A21,2021-12-29 15:10:00,2021-12-29 17:43:00
0,A58,2021-12-28 22:05:00,2021-12-29 18:33:00
2,A58,2021-12-28 22:05:00,2021-12-29 18:33:00
0,A50,2021-12-29 18:33:00,2021-12-29 18:35:00
2,A50,2021-12-29 18:33:00,2021-12-29 18:35:00
0,A51,2021-12-29 18:35:00,2021-12-30 02:30:00
2,A51,2021-12-29 18:35:00,2021-12-30 02:30:00
0,A33,2021-12-30 02:30:00,2021-12-30 10:47:00
1,A58,2021-12-29 17:43:00,2021-12-30 14:11:00
1,A50,2021-12-30 14:11:00,2021-12-30 14:13:00
2,A32,2021-12-30 02:30:00,2021-12-30 16:02:00
2,A12,2021-12-30 16:02:00,2021-12-30 18:54:00
1,A51,2021-12-30 14:13:00,2021-12-30 22:08:00
0,A49,2021-12-30 10:47:00,2021-12-30 22:33:00
0,A109,2021-12-30 22:33:00,2021-12-31 04:23:00
0,A53,2021-12-31 04:23:00,2021-12-31 04:29:00
1,A32,2021-12-30 22:08:00,2021-12-31 11:40:00
0,A45,2021-12-31 04:29:00,2021-12-31 14:26:00
1,A12,2021-12-31 11:40:00,2021-12-31 14:32:00
2,A58,2021-12-30 18:54:00,2021-12-31 15:22:00
2,A50,2021-12-31 15:22:00,2021-12-31 15:24:00
2,A51,2021-12-31 15:24:00,2021-12-31 23:19:00
2,A33,2021-12-31 23:19:00,2022-01-01 07:36:00
1,A58,2021-12-31 14:32:00,2022-01-01 11:00:00
1,A50,2022-01-01 11:00:00,2022-01-01 11:02:00
1,A51,2022-01-01 11:02:00,2022-01-01 18:57:00
2,A49,2022-01-01 07:36:00,2022-01-01 19:22:00
0,A101,2021-12-31 14:26:00,2022-01-01 21:19:00
1,A41,2022-01-01 18:57:00,2022-01-02 04:25:00
0,A55,2022-01-01 21:19:00,2022-01-02 04:56:00
2,A47,2022-01-01 19:22:00,2022-01-02 05:52:00
1,A21,2022-01-02 04:25:00,2022-01-02 06:58:00
0,A114,2022-01-02 04:56:00,2022-01-02 11:51:00
2,A112,2022-01-02 05:52:00,2022-01-02 15:11:00
2,A53,2022-01-02 15:11:00,2022-01-02 15:17:00
2,A45,2022-01-02 15:17:00,2022-01-03 01:14:00
0,A44,2022-01-02 11:51:00,2022-01-03 02:24:00
1,A58,2022-01-02 06:58:00,2022-01-03 03:26:00
1,A50,2022-01-03 03:26:00,2022-01-03 03:28:00
2,A111,2022-01-03 01:14:00,2022-01-03 09:30:00
0,A107,2022-01-03 02:24:00,2022-01-03 10:45:00
1,A51,2022-01-03 03:28:00,2022-01-03 11:23:00
1,A36,2022-01-03 11:23:00,2022-01-03 21:49:00
2,A44,2022-01-03 09:30:00,2022-01-04 00:03:00
1,A16,2022-01-03 21:49:00,2022-01-04 00:34:00
0,A54,2022-01-03 10:45:00,2022-01-04 07:21:00
0,A48,2022-01-04 07:21:00,2022-01-04 08:09:00
2,A107,2022-01-04 00:03:00,2022-01-04 08:24:00
1,A58,2022-01-04 00:34:00,2022-01-04 21:02:00
1,A50,2022-01-04 21:02:00,2022-01-04 21:04:00
1,A51,2022-01-04 21:04:00,2022-01-05 04:59:00
2,A54,2022-01-04 08:24:00,2022-01-05 05:00:00
2,A48,2022-01-05 05:00:00,2022-01-05 05:48:00
1,A36,2022-01-05 04:59:00,2022-01-05 15:25:00
1,A16,2022-01-05 15:25:00,2022-01-05 18:10:00
1,A58,2022-01-05 18:10:00,2022-01-06 14:38:00
1,A50,2022-01-06 14:38:00,2022-01-06 14:40:00
1,A51,2022-01-06 14:40:00,2022-01-06 22:35:00
1,A36,2022-01-06 22:35:00,2022-01-07 09:01:00
1,A16,2022-01-07 09:01:00,2022-01-07 11:46:00
1,A58,2022-01-07 11:46:00,2022-01-08 08:14:00
1,A50,2022-01-08 08:14:00,2022-01-08 08:16:00
1,A51,2022-01-08 08:16:00,2022-01-08 16:11:00
1,A31,2022-01-08 16:11:00,2022-01-09 00:52:00
1,A11,2022-01-09 00:52:00,2022-01-09 03:42:00
1,A58,2022-01-09 03:42:00,2022-01-10 00:10:00
1,A50,2022-01-10 00:10:00,2022-01-10 00:12:00
1,A51,2022-01-10 00:12:00,2022-01-10 08:07:00
1,A41,2022-01-10 08:07:00,2022-01-10 17:35:00
1,A21,2022-01-10 17:35:00,2022-01-10 20:08:00
1,A58,2022-01-10 20:08:00,2022-01-11 16:36:00
1,A50,2022-01-11 16:36:00,2022-01-11 16:38:00
1,A51,2022-01-11 16:38:00,2022-01-12 00:33:00
1,A36,2022-01-12 00:33:00,2022-01-12 10:59:00
1,A16,2022-01-12 10:59:00,2022-01-12 13:44:00
1,A58,2022-01-12 13:44:00,2022-01-13 10:12:00
1,A50,2022-01-13 10:12:00,2022-01-13 10:14:00
1,A51,2022-01-13 10:14:00,2022-01-13 18:09:00
1,A36,2022-01-13 18:09:00,2022-01-14 04:35:00
1,A16,2022-01-14 04:35:00,2022-01-14 07:20:00
1,A58,2022-01-14 07:20:00,2022-01-15 03:48:00
1,A50,2022-01-15 03:48:00,2022-01-15 03:50:00
1,A51,2022-01-15 03:50:00,2022-01-15 11:45:00
1,A36,2022-01-15 11:45:00,2022-01-15 22:11:00
1,A16,2022-01-15 22:11:00,2022-01-16 00:56:00
1,A58,2022-01-16 00:56:00,2022-01-16 21:24:00
1,A50,2022-01-16 21:24:00,2022-01-16 21:26:00
1,A51,2022-01-16 21:26:00,2022-01-17 05:21:00
1,A36,2022-01-17 05:21:00,2022-01-17 15:47:00
1,A16,2022-01-17 15:47:00,2022-01-17 18:32:00
1,A58,2022-01-17 18:32:00,2022-01-18 15:00:00
1,A50,2022-01-18 15:00:00,2022-01-18 15:02:00
1,A51,2022-01-18 15:02:00,2022-01-18 22:57:00
1,A28,2022-01-18 22:57:00,2022-01-19 09:11:00
1,A8,2022-01-19 09:11:00,2022-01-19 12:02:00
1,A58,2022-01-19 12:02:00,2022-01-20 08:30:00
1,A50,2022-01-20 08:30:00,2022-01-20 08:32:00
1,A51,2022-01-20 08:32:00,2022-01-20 16:27:00
1,A28,2022-01-20 16:27:00,2022-01-21 02:41:00
1,A8,2022-01-21 02:41:00,2022-01-21 05:32:00
1,A58,2022-01-21 05:32:00,2022-01-22 02:00:00
1,A50,2022-01-22 02:00:00,2022-01-22 02:02:00
1,A51,2022-01-22 02:02:00,2022-01-22 09:57:00
1,A28,2022-01-22 09:57:00,2022-01-22 20:11:00
1,A8,2022-01-22 20:11:00,2022-01-22 23:02:00
1,A58,2022-01-22 23:02:00,2022-01-23 19:30:00
1,A50,2022-01-23 19:30:00,2022-01-23 19:32:00
1,A51,2022-01-23 19:32:00,2022-01-24 03:27:00
1,A36,2022-01-24 03:27:00,2022-01-24 13:53:00
1,A16,2022-01-24 13:53:00,2022-01-24 16:38:00
1,A58,2022-01-24 16:38:00,2022-01-25 13:06:00
1,A50,2022-01-25 13:06:00,2022-01-25 13:08:00
1,A51,2022-01-25 13:08:00,2022-01-25 21:03:00
1,A36,2022-01-25 21:03:00,2022-01-26 07:29:00
1,A16,2022-01-26 07:29:00,2022-01-26 10:14:00
1,A58,2022-01-26 10:14:00,2022-01-27 06:42:00
1,A50,2022-01-27 06:42:00,2022-01-27 06:44:00
1,A51,2022-01-27 06:44:00,2022-01-27 14:39:00
1,A28,2022-01-27 14:39:00,2022-01-28 00:53:00
1,A8,2022-01-28 00:53:00,2022-01-28 03:44:00
1,A58,2022-01-28 03:44:00,2022-01-29 00:12:00
1,A50,2022-01-29 00:12:00,2022-01-29 00:14:00
1,A51,2022-01-29 00:14:00,2022-01-29 08:09:00
1,A28,2022-01-29 08:09:00,2022-01-29 18:23:00
1,A8,2022-01-29 18:23:00,2022-01-29 21:14:00
1,A58,2022-01-29 21:14:00,2022-01-30 17:42:00
1,A50,2022-01-30 17:42:00,2022-01-30 17:44:00
1,A51,2022-01-30 17:44:00,2022-01-31 01:39:00
1,A37,2022-01-31 01:39:00,2022-01-31 11:03:00
1,A49,2022-01-31 11:03:00,2022-01-31 22:49:00
1,A109,2022-01-31 22:49:00,2022-02-01 04:39:00
1,A53,2022-02-01 04:39:00,2022-02-01 04:45:00
1,A45,2022-02-01 04:45:00,2022-02-01 14:42:00
1,A111,2022-02-01 14:42:00,2022-02-01 22:58:00
1,A44,2022-02-01 22:58:00,2022-02-02 13:31:00
1,A107,2022-02-02 13:31:00,2022-02-02 21:52:00
1,A54,2022-02-02 21:52:00,2022-02-03 18:28:00
1,A48,2022-02-03 18:28:00,2022-02-03 19:16:00
