case_id,activity,time:timestamp:start,time:timestamp:end
0,A52,2021-02-20 00:00:00,2021-02-21 05:02:00
1,A52,2021-02-20 00:00:00,2021-02-21 05:02:00
0,A43,2021-02-21 05:02:00,2021-02-21 05:42:00
1,A43,2021-02-21 05:02:00,2021-02-21 05:42:00
0,A63,2021-02-21 05:42:00,2021-02-21 06:25:00
1,A63,2021-02-21 05:42:00,2021-02-21 06:25:00
0,A60,2021-02-21 06:25:00,2021-02-21 10:18:00
1,A60,2021-02-21 06:25:00,2021-02-21 10:18:00
1,A78,2021-02-21 10:18:00,2021-02-21 10:33:00
1,A46,2021-02-21 10:33:00,2021-02-22 03:31:00
0,A67,2021-02-21 10:18:00,2021-02-23 01:49:00
0,A46,2021-02-23 01:49:00,2021-02-23 18:47:00
1,A57,2021-02-22 03:31:00,2021-02-24 10:16:00
1,A61,2021-02-24 10:16:00,2021-02-25 07:32:00
1,A13,2021-02-25 07:32:00,2021-02-25 10:51:00
0,A57,2021-02-23 18:47:00,2021-02-26 01:32:00
1,A58,2021-02-25 10:51:00,2021-02-26 07:19:00
1,A50,2021-02-26 07:19:00,2021-02-26 07:21:00
1,A51,2021-02-26 07:21:00,2021-02-26 15:16:00
1,A35,2021-02-26 15:16:00,2021-02-26 22:06:00
0,A61,2021-02-26 01:32:00,2021-02-26 22:48:00
0,A13,2021-02-26 22:48:00,2021-02-27 02:07:00
1,A49,2021-02-26 22:06:00,2021-02-27 09:52:00
1,A47,2021-02-27 09:52:00,2021-02-27 20:22:00
0,A58,2021-02-27 02:07:00,2021-02-27 22:35:00
0,A50,2021-02-27 22:35:00,2021-02-27 22:37:00
0,A51,2021-02-27 22:37:00,2021-02-28 06:32:00
1,A113,2021-02-27 20:22:00,2021-02-28 11:53:00
1,A53,2021-02-28 11:53:00,2021-02-28 11:59:00
0,A32,2021-02-28 06:32:00,2021-02-28 20:04:00
1,A45,2021-02-28 11:59:00,2021-02-28 21:56:00
0,A12,2021-02-28 20:04:00,2021-02-28 22:56:00
0,A58,2021-02-28 22:56:00,2021-03-01 19:24:00
0,A50,2021-03-01 19:24:00,2021-03-01 19:26:00
0,A51,2021-03-01 19:26:00,2021-03-02 03:21:00
0,A33,2021-03-02 03:21:00,2021-03-02 11:38:00
0,A49,2021-03-02 11:38:00,2021-03-02 23:24:00
0,A109,2021-03-02 23:24:00,2021-03-03 05:14:00
0,A53,2021-03-03 05:14:00,2021-03-03 05:20:00
1,A110,2021-02-28 21:56:00,2021-03-03 05:56:00
1,A55,2021-03-03 05:56:00,2021-03-03 13:33:00
0,A45,2021-03-03 05:20:00,2021-03-03 15:17:00
1,A103,2021-03-03 13:33:00,2021-03-03 19:06:00
0,A111,2021-03-03 15:17:00,2021-03-03 23:33:00
0,A44,2021-03-03 23:33:00,2021-03-04 14:06:00
1,A54,2021-03-03 19:06:00,2021-03-04 15:42:00
1,A48,2021-03-04 15:42:00,2021-03-04 16:30:00
0,A107,2021-03-04 14:06:00,2021-03-04 22:27:00
0,A54,2021-03-04 22:27:00,2021-03-05 19:03:00
0,A48,2021-03-05 19:03:00,2021-03-05 19:51:00
1,A119,2021-03-04 16:30:00,2021-03-04 17:30:00
1,A56,2021-03-04 17:30:00,2021-03-04 20:30:00
1,A1,2021-03-04 20:30:00,2021-03-05 05:35:00
0,A119,2021-03-05 19:51:00,2021-03-05 20:51:00
0,A56,2021-03-05 20:51:00,2021-03-05 23:51:00
0,A1,2021-03-05 23:51:00,2021-03-06 09:03:00
