Unnamed: 0,PROVISIONAL,BUQUE,IMO,FECHA_ETA,HORA_ETA,FECHA_ETD,HORA_ETD,TXTNUMIMO,TXTESLORA,TXTMANGA,TXTVELMAX,TXTCALADO
482,anon_provisional_627,anon_buque_628,anon_imo_178,12/14/2021 00:00:00,01/01/1900 08:00:00,12/15/2021 00:00:00,01/01/1900 08:00:00,anon_imo_178,28.0,6.49,,
483,anon_provisional_627,anon_buque_628,anon_imo_178,12/14/2021 00:00:00,01/01/1900 08:00:00,12/15/2021 00:00:00,01/01/1900 08:00:00,anon_imo_178,19.0,6.0,,2.0
494,anon_provisional_629,anon_buque_630,anon_imo_178,05/26/2021 00:00:00,01/01/1900 06:00:00,06/01/2021 00:00:00,01/01/1900 10:00:00,anon_imo_178,23.89,6.6,10.0,3.3
495,anon_provisional_629,anon_buque_630,anon_imo_178,05/26/2021 00:00:00,01/01/1900 06:00:00,06/01/2021 00:00:00,01/01/1900 10:00:00,anon_imo_178,30.0,14.3,,
496,anon_provisional_629,anon_buque_630,anon_imo_178,05/26/2021 00:00:00,01/01/1900 06:00:00,06/01/2021 00:00:00,01/01/1900 10:00:00,anon_imo_178,28.06,6.7,,
497,anon_provisional_629,anon_buque_630,anon_imo_178,05/26/2021 00:00:00,01/01/1900 06:00:00,06/01/2021 00:00:00,01/01/1900 10:00:00,anon_imo_178,32.22,14.93,0.0,2.0
498,anon_provisional_629,anon_buque_630,anon_imo_178,05/26/2021 00:00:00,01/01/1900 06:00:00,06/01/2021 00:00:00,01/01/1900 10:00:00,anon_imo_178,23.5,8.54,,
499,anon_provisional_629,anon_buque_630,anon_imo_178,05/26/2021 00:00:00,01/01/1900 06:00:00,06/01/2021 00:00:00,01/01/1900 10:00:00,anon_imo_178,27.0,3.0,,
500,anon_provisional_629,anon_buque_630,anon_imo_178,05/26/2021 00:00:00,01/01/1900 06:00:00,06/01/2021 00:00:00,01/01/1900 10:00:00,anon_imo_178,30.81,7.8,,2.48
501,anon_provisional_629,anon_buque_630,anon_imo_178,05/26/2021 00:00:00,01/01/1900 06:00:00,06/01/2021 00:00:00,01/01/1900 10:00:00,anon_imo_178,34.0,7.65,,2.77
502,anon_provisional_629,anon_buque_630,anon_imo_178,05/26/2021 00:00:00,01/01/1900 06:00:00,06/01/2021 00:00:00,01/01/1900 10:00:00,anon_imo_178,28.0,6.49,,
503,anon_provisional_629,anon_buque_630,anon_imo_178,05/26/2021 00:00:00,01/01/1900 06:00:00,06/01/2021 00:00:00,01/01/1900 10:00:00,anon_imo_178,19.0,6.0,,2.0
504,anon_provisional_631,anon_buque_632,anon_imo_178,08/18/2021 00:00:00,01/01/1900 15:00:00,08/21/2021 00:00:00,01/01/1900 08:00:00,anon_imo_178,23.89,6.6,10.0,3.3
505,anon_provisional_631,anon_buque_632,anon_imo_178,08/18/2021 00:00:00,01/01/1900 15:00:00,08/21/2021 00:00:00,01/01/1900 08:00:00,anon_imo_178,30.0,14.3,,
506,anon_provisional_631,anon_buque_632,anon_imo_178,08/18/2021 00:00:00,01/01/1900 15:00:00,08/21/2021 00:00:00,01/01/1900 08:00:00,anon_imo_178,28.06,6.7,,
507,anon_provisional_631,anon_buque_632,anon_imo_178,08/18/2021 00:00:00,01/01/1900 15:00:00,08/21/2021 00:00:00,01/01/1900 08:00:00,anon_imo_178,32.22,14.93,0.0,2.0
508,anon_provisional_631,anon_buque_632,anon_imo_178,08/18/2021 00:00:00,01/01/1900 15:00:00,08/21/2021 00:00:00,01/01/1900 08:00:00,anon_imo_178,23.5,8.54,,
509,anon_provisional_631,anon_buque_632,anon_imo_178,08/18/2021 00:00:00,01/01/1900 15:00:00,08/21/2021 00:00:00,01/01/1900 08:00:00,anon_imo_178,27.0,3.0,,
510,anon_provisional_631,anon_buque_632,anon_imo_178,08/18/2021 00:00:00,01/01/1900 15:00:00,08/21/2021 00:00:00,01/01/1900 08:00:00,anon_imo_178,30.81,7.8,,2.48
511,anon_provisional_631,anon_buque_632,anon_imo_178,08/18/2021 00:00:00,01/01/1900 15:00:00,08/21/2021 00:00:00,01/01/1900 08:00:00,anon_imo_178,34.0,7.65,,2.77
