case_id,activity,time:timestamp:start,time:timestamp:end
0,A52,2021-10-10 00:00:00,2021-10-11 05:02:00
1,A52,2021-10-10 00:00:00,2021-10-11 05:02:00
0,A43,2021-10-11 05:02:00,2021-10-11 05:42:00
1,A43,2021-10-11 05:02:00,2021-10-11 05:42:00
0,A63,2021-10-11 05:42:00,2021-10-11 06:25:00
1,A63,2021-10-11 05:42:00,2021-10-11 06:25:00
0,A60,2021-10-11 06:25:00,2021-10-11 10:18:00
1,A60,2021-10-11 06:25:00,2021-10-11 10:18:00
0,A65,2021-10-11 10:18:00,2021-10-11 21:47:00
1,A65,2021-10-11 10:18:00,2021-10-11 21:47:00
0,A46,2021-10-11 21:47:00,2021-10-12 14:45:00
1,A46,2021-10-11 21:47:00,2021-10-12 14:45:00
0,A57,2021-10-12 14:45:00,2021-10-12 14:51:00
1,A57,2021-10-12 14:45:00,2021-10-12 14:51:00
0,A61,2021-10-12 14:51:00,2021-10-13 12:07:00
1,A61,2021-10-12 14:51:00,2021-10-13 12:07:00
0,A13,2021-10-13 12:07:00,2021-10-13 15:26:00
1,A13,2021-10-13 12:07:00,2021-10-13 15:26:00
0,A58,2021-10-13 15:26:00,2021-10-14 11:54:00
1,A58,2021-10-13 15:26:00,2021-10-14 11:54:00
0,A50,2021-10-14 11:54:00,2021-10-14 11:56:00
1,A50,2021-10-14 11:54:00,2021-10-14 11:56:00
0,A51,2021-10-14 11:56:00,2021-10-14 19:51:00
1,A51,2021-10-14 11:56:00,2021-10-14 19:51:00
0,A37,2021-10-14 19:51:00,2021-10-15 05:15:00
1,A28,2021-10-14 19:51:00,2021-10-15 06:05:00
1,A8,2021-10-15 06:05:00,2021-10-15 08:56:00
0,A49,2021-10-15 05:15:00,2021-10-15 17:01:00
0,A47,2021-10-15 17:01:00,2021-10-16 03:31:00
1,A58,2021-10-15 08:56:00,2021-10-16 05:24:00
1,A50,2021-10-16 05:24:00,2021-10-16 05:26:00
0,A104,2021-10-16 03:31:00,2021-10-16 10:18:00
1,A51,2021-10-16 05:26:00,2021-10-16 13:21:00
1,A37,2021-10-16 13:21:00,2021-10-16 22:45:00
0,A44,2021-10-16 10:18:00,2021-10-17 00:51:00
0,A107,2021-10-17 00:51:00,2021-10-17 09:12:00
1,A49,2021-10-16 22:45:00,2021-10-17 10:31:00
1,A47,2021-10-17 10:31:00,2021-10-17 21:01:00
0,A54,2021-10-17 09:12:00,2021-10-18 05:48:00
1,A112,2021-10-17 21:01:00,2021-10-18 06:20:00
1,A53,2021-10-18 06:20:00,2021-10-18 06:26:00
0,A48,2021-10-18 05:48:00,2021-10-18 06:36:00
1,A45,2021-10-18 06:26:00,2021-10-18 16:23:00
1,A101,2021-10-18 16:23:00,2021-10-19 23:16:00
1,A55,2021-10-19 23:16:00,2021-10-20 06:53:00
1,A114,2021-10-20 06:53:00,2021-10-20 13:48:00
1,A44,2021-10-20 13:48:00,2021-10-21 04:21:00
1,A107,2021-10-21 04:21:00,2021-10-21 12:42:00
1,A54,2021-10-21 12:42:00,2021-10-22 09:18:00
1,A48,2021-10-22 09:18:00,2021-10-22 10:06:00
0,A119,2021-10-18 06:36:00,2021-10-18 07:36:00
0,A56,2021-10-18 07:36:00,2021-10-18 10:36:00
0,A1,2021-10-18 10:36:00,2021-10-18 19:10:00
1,A119,2021-10-22 10:06:00,2021-10-22 11:06:00
1,A56,2021-10-22 11:06:00,2021-10-22 14:06:00
1,A1,2021-10-22 14:06:00,2021-10-22 22:42:00
