case_id,activity,time:timestamp:start,time:timestamp:end
0,A52,2021-04-13 00:00:00,2021-04-14 05:02:00
1,A52,2021-04-13 00:00:00,2021-04-14 05:02:00
2,A52,2021-04-13 00:00:00,2021-04-14 05:02:00
0,A43,2021-04-14 05:02:00,2021-04-14 05:42:00
1,A43,2021-04-14 05:02:00,2021-04-14 05:42:00
2,A43,2021-04-14 05:02:00,2021-04-14 05:42:00
0,A63,2021-04-14 05:42:00,2021-04-14 06:25:00
1,A63,2021-04-14 05:42:00,2021-04-14 06:25:00
2,A63,2021-04-14 05:42:00,2021-04-14 06:25:00
0,A60,2021-04-14 06:25:00,2021-04-14 10:18:00
1,A60,2021-04-14 06:25:00,2021-04-14 10:18:00
2,A60,2021-04-14 06:25:00,2021-04-14 10:18:00
0,A67,2021-04-14 10:18:00,2021-04-16 01:49:00
1,A67,2021-04-14 10:18:00,2021-04-16 01:49:00
2,A69,2021-04-14 10:18:00,2021-04-16 16:29:00
0,A46,2021-04-16 01:49:00,2021-04-16 18:47:00
1,A46,2021-04-16 01:49:00,2021-04-16 18:47:00
0,A57,2021-04-16 18:47:00,2021-04-16 18:53:00
1,A57,2021-04-16 18:47:00,2021-04-16 18:53:00
1,A15,2021-04-16 18:53:00,2021-04-16 19:59:00
2,A46,2021-04-16 16:29:00,2021-04-17 09:27:00
2,A57,2021-04-17 09:27:00,2021-04-17 09:33:00
0,A61,2021-04-16 18:53:00,2021-04-17 16:09:00
1,A58,2021-04-16 19:59:00,2021-04-17 16:27:00
1,A50,2021-04-17 16:27:00,2021-04-17 16:29:00
0,A13,2021-04-17 16:09:00,2021-04-17 19:28:00
1,A51,2021-04-17 16:29:00,2021-04-18 00:24:00
2,A61,2021-04-17 09:33:00,2021-04-18 06:49:00
2,A13,2021-04-18 06:49:00,2021-04-18 10:08:00
1,A32,2021-04-18 00:24:00,2021-04-18 13:56:00
0,A58,2021-04-17 19:28:00,2021-04-18 15:56:00
0,A50,2021-04-18 15:56:00,2021-04-18 15:58:00
1,A12,2021-04-18 13:56:00,2021-04-18 16:48:00
0,A51,2021-04-18 15:58:00,2021-04-18 23:53:00
2,A58,2021-04-18 10:08:00,2021-04-19 06:36:00
2,A50,2021-04-19 06:36:00,2021-04-19 06:38:00
0,A41,2021-04-18 23:53:00,2021-04-19 09:21:00
0,A21,2021-04-19 09:21:00,2021-04-19 11:54:00
1,A58,2021-04-18 16:48:00,2021-04-19 13:16:00
1,A50,2021-04-19 13:16:00,2021-04-19 13:18:00
2,A51,2021-04-19 06:38:00,2021-04-19 14:33:00
1,A51,2021-04-19 13:18:00,2021-04-19 21:13:00
2,A36,2021-04-19 14:33:00,2021-04-20 00:59:00
2,A16,2021-04-20 00:59:00,2021-04-20 03:44:00
1,A33,2021-04-19 21:13:00,2021-04-20 05:30:00
0,A58,2021-04-19 11:54:00,2021-04-20 08:22:00
0,A50,2021-04-20 08:22:00,2021-04-20 08:24:00
0,A51,2021-04-20 08:24:00,2021-04-20 16:19:00
1,A49,2021-04-20 05:30:00,2021-04-20 17:16:00
1,A109,2021-04-20 17:16:00,2021-04-20 23:06:00
1,A53,2021-04-20 23:06:00,2021-04-20 23:12:00
2,A58,2021-04-20 03:44:00,2021-04-21 00:12:00
2,A50,2021-04-21 00:12:00,2021-04-21 00:14:00
0,A32,2021-04-20 16:19:00,2021-04-21 05:51:00
2,A51,2021-04-21 00:14:00,2021-04-21 08:09:00
0,A12,2021-04-21 05:51:00,2021-04-21 08:43:00
1,A45,2021-04-20 23:12:00,2021-04-21 09:09:00
1,A111,2021-04-21 09:09:00,2021-04-21 17:25:00
2,A36,2021-04-21 08:09:00,2021-04-21 18:35:00
2,A16,2021-04-21 18:35:00,2021-04-21 21:20:00
0,A58,2021-04-21 08:43:00,2021-04-22 05:11:00
0,A50,2021-04-22 05:11:00,2021-04-22 05:13:00
1,A44,2021-04-21 17:25:00,2021-04-22 07:58:00
0,A51,2021-04-22 05:13:00,2021-04-22 13:08:00
1,A107,2021-04-22 07:58:00,2021-04-22 16:19:00
2,A58,2021-04-21 21:20:00,2021-04-22 17:48:00
2,A50,2021-04-22 17:48:00,2021-04-22 17:50:00
0,A33,2021-04-22 13:08:00,2021-04-22 21:25:00
2,A51,2021-04-22 17:50:00,2021-04-23 01:45:00
0,A49,2021-04-22 21:25:00,2021-04-23 09:11:00
1,A54,2021-04-22 16:19:00,2021-04-23 12:55:00
1,A48,2021-04-23 12:55:00,2021-04-23 13:43:00
2,A32,2021-04-23 01:45:00,2021-04-23 15:17:00
2,A12,2021-04-23 15:17:00,2021-04-23 18:09:00
0,A47,2021-04-23 09:11:00,2021-04-23 19:41:00
0,A117,2021-04-23 19:41:00,2021-04-24 06:27:00
0,A55,2021-04-24 06:27:00,2021-04-24 14:04:00
2,A58,2021-04-23 18:09:00,2021-04-24 14:37:00
2,A50,2021-04-24 14:37:00,2021-04-24 14:39:00
0,A114,2021-04-24 14:04:00,2021-04-24 20:59:00
2,A51,2021-04-24 14:39:00,2021-04-24 22:34:00
2,A33,2021-04-24 22:34:00,2021-04-25 06:51:00
0,A44,2021-04-24 20:59:00,2021-04-25 11:32:00
2,A49,2021-04-25 06:51:00,2021-04-25 18:37:00
0,A107,2021-04-25 11:32:00,2021-04-25 19:53:00
2,A109,2021-04-25 18:37:00,2021-04-26 00:27:00
2,A53,2021-04-26 00:27:00,2021-04-26 00:33:00
2,A45,2021-04-26 00:33:00,2021-04-26 10:30:00
0,A54,2021-04-25 19:53:00,2021-04-26 16:29:00
0,A48,2021-04-26 16:29:00,2021-04-26 17:17:00
2,A101,2021-04-26 10:30:00,2021-04-27 17:23:00
